inspection_id,truck_id,trip_id,warehouse_id,route_id,dock_id,planned_pallets,planned_load_pct,estimated_load_pct,status,issue_codes,confidence,recommendation,supervisor_action,captured_at,photo_path,synced_to_snowflake
INS-SAMPLE0023,TRK-4423,TRIP-10023,MAN,RT-LON-04,D01,24,92.0,66.9,UNDERLOADED,below_target|low_fill,0.817,Sample generated record for dashboard demo.,APPROVE,2026-08-15T22:22:24.109211+00:00,,False
INS-SAMPLE0024,TRK-4424,TRIP-10024,LON,RT-MAN-01,D01,22,100.0,90.7,OPTIMAL,,0.805,Sample generated record for dashboard demo.,TOP_UP,2026-08-13T18:22:24.109211+00:00,,False
INS-SAMPLE0025,TRK-4425,TRIP-10025,GLA,RT-MAN-01,D02,24,95.0,85.5,UNDERLOADED,below_target|low_fill,0.915,Sample generated record for dashboard demo.,TOP_UP,2026-08-18T22:22:24.109211+00:00,,False
INS-SAMPLE0026,TRK-4426,TRIP-10026,GLA,RT-BHM-02,D01,24,95.0,80.1,UNDERLOADED,below_target|low_fill,0.766,Sample generated record for dashboard demo.,APPROVE,2026-08-12T21:22:24.109211+00:00,,False
INS-SAMPLE0027,TRK-4427,TRIP-10027,BHM,RT-MAN-01,D01,26,100.0,85.6,UNSAFE,uneven_loading,0.826,Sample generated record for dashboard demo.,HOLD,2026-08-12T17:22:24.109211+00:00,,False
INS-SAMPLE0028,TRK-4428,TRIP-10028,MAN,RT-MAN-01,D03,20,92.0,87.0,UNDERLOADED,below_target|low_fill,0.862,Sample generated record for dashboard demo.,APPROVE,2026-08-19T20:22:24.109211+00:00,,False
INS-SAMPLE0029,TRK-4429,TRIP-10029,MAN,RT-MAN-01,D03,20,92.0,96.6,OPTIMAL,,0.808,Sample generated record for dashboard demo.,HOLD,2026-08-14T15:22:24.109211+00:00,,False
INS-SAMPLE0030,TRK-4430,TRIP-10030,MAN,RT-GLA-03,D01,24,100.0,82.4,UNSAFE,uneven_loading,0.803,Sample generated record for dashboard demo.,HOLD,2026-08-17T22:22:24.109211+00:00,,False
INS-SAMPLE0031,TRK-4431,TRIP-10031,LON,RT-MAN-01,D02,20,95.0,70.2,UNDERLOADED,below_target|low_fill,0.735,Sample generated record for dashboard demo.,APPROVE,2026-08-12T16:22:24.109211+00:00,,False
INS-SAMPLE0032,TRK-4432,TRIP-10032,LON,RT-BHM-02,D02,24,95.0,79.9,UNSAFE,uneven_loading,0.753,Sample generated record for dashboard demo.,HOLD,2026-08-16T23:22:24.109211+00:00,,False
INS-SAMPLE0033,TRK-4433,TRIP-10033,LON,RT-GLA-03,D03,20,100.0,87.6,UNDERLOADED,below_target|low_fill,0.917,Sample generated record for dashboard demo.,APPROVE,2026-08-12T02:22:24.109211+00:00,,False
INS-SAMPLE0034,TRK-4434,TRIP-10034,MAN,RT-GLA-03,D02,22,92.0,85.1,UNDERLOADED,below_target|low_fill,0.871,Sample generated record for dashboard demo.,APPROVE,2026-08-12T18:22:24.109211+00:00,,False
INS-SAMPLE0035,TRK-4435,TRIP-10035,LON,RT-MAN-01,D03,26,100.0,74.7,UNDERLOADED,below_target|low_fill,0.894,Sample generated record for dashboard demo.,APPROVE,2026-08-11T01:22:24.109211+00:00,,False
INS-SAMPLE0036,TRK-4436,TRIP-10036,BHM,RT-BHM-02,D03,26,95.0,95.4,OPTIMAL,,0.836,Sample generated record for dashboard demo.,TOP_UP,2026-08-13T21:22:24.109211+00:00,,False
INS-SAMPLE0037,TRK-4437,TRIP-10037,MAN,RT-MAN-01,D02,22,92.0,79.6,UNSAFE,uneven_loading,0.81,Sample generated record for dashboard demo.,APPROVE,2026-08-11T06:22:24.109211+00:00,,False
INS-SAMPLE0038,TRK-4438,TRIP-10038,LON,RT-GLA-03,D01,22,95.0,85.4,UNDERLOADED,below_target|low_fill,0.86,Sample generated record for dashboard demo.,TOP_UP,2026-08-12T05:22:24.109211+00:00,,False
INS-SAMPLE0039,TRK-4439,TRIP-10039,MAN,RT-BHM-02,D01,22,95.0,91.6,UNSAFE,uneven_loading,0.905,Sample generated record for dashboard demo.,APPROVE,2026-08-12T17:22:24.109211+00:00,,False
