product_id,warehouse_id,snapshot_date,stock_qty,reserved_qty,available_qty
P029,W03,2026-08-09,3683,789,2894
P029,W04,2026-08-09,2769,456,2313
P029,W05,2026-08-09,2822,531,2291
P029,W06,2026-08-09,1003,103,900
P029,W07,2026-08-09,2118,432,1686
P029,W08,2026-08-09,1322,134,1188
P030,W01,2026-08-09,1842,151,1691
P030,W02,2026-08-09,1786,480,1306
P030,W03,2026-08-09,1099,116,983
P030,W04,2026-08-09,3265,404,2861
P030,W05,2026-08-09,2020,435,1585
P030,W06,2026-08-09,3053,748,2305
P030,W07,2026-08-09,1917,199,1718
P030,W08,2026-08-09,1867,525,1342
P001,W01,2026-08-02,940,146,794
P001,W02,2026-08-02,741,46,695
P001,W03,2026-08-02,544,43,501
P001,W04,2026-08-02,751,246,505
P001,W05,2026-08-02,420,48,372
P001,W06,2026-08-02,532,30,502
P001,W07,2026-08-02,276,48,228
P001,W08,2026-08-02,271,19,252
P002,W01,2026-08-02,6006,922,5084
P002,W02,2026-08-02,4826,1670,3156
P002,W03,2026-08-02,3387,769,2618
P002,W04,2026-08-02,3854,980,2874
P002,W05,2026-08-02,3041,1063,1978
P002,W06,2026-08-02,1291,309,982
P002,W07,2026-08-02,2338,733,1605
P002,W08,2026-08-02,2182,255,1927
P003,W01,2026-08-02,1568,81,1487
P003,W02,2026-08-02,1523,303,1220
P003,W03,2026-08-02,2060,586,1474
P003,W04,2026-08-02,1094,309,785
P003,W05,2026-08-02,1129,231,898
P003,W06,2026-08-02,1023,304,719
P003,W07,2026-08-02,1797,575,1222
P003,W08,2026-08-02,2105,115,1990
P004,W01,2026-08-02,550,68,482
P004,W02,2026-08-02,1319,235,1084
P004,W03,2026-08-02,1597,466,1131
P004,W04,2026-08-02,1039,146,893
P004,W05,2026-08-02,598,171,427
P004,W06,2026-08-02,1061,232,829
P004,W07,2026-08-02,547,108,439
P004,W08,2026-08-02,966,143,823
P005,W01,2026-08-02,4886,1557,3329
P005,W02,2026-08-02,5996,793,5203
P005,W03,2026-08-02,4936,1702,3234
P005,W04,2026-08-02,3529,873,2656
P005,W05,2026-08-02,1256,344,912
P005,W06,2026-08-02,5249,955,4294
P005,W07,2026-08-02,1764,489,1275
P005,W08,2026-08-02,5865,1936,3929
P006,W01,2026-08-02,2462,509,1953
P006,W02,2026-08-02,3152,1062,2090
P006,W03,2026-08-02,2931,744,2187
P006,W04,2026-08-02,5320,1062,4258
P006,W05,2026-08-02,969,120,849
P006,W06,2026-08-02,2230,221,2009
P006,W07,2026-08-02,3396,476,2920
P006,W08,2026-08-02,3522,641,2881
P007,W01,2026-08-02,6846,2152,4694
P007,W02,2026-08-02,3589,1150,2439
P007,W03,2026-08-02,5406,676,4730
P007,W04,2026-08-02,4254,1434,2820
P007,W05,2026-08-02,6053,1594,4459
P007,W06,2026-08-02,5330,706,4624
P007,W07,2026-08-02,6448,579,5869
P007,W08,2026-08-02,2625,745,1880
P008,W01,2026-08-02,6306,1300,5006
P008,W02,2026-08-02,4858,1686,3172
P008,W03,2026-08-02,1249,86,1163
P008,W04,2026-08-02,1586,170,1416
P008,W05,2026-08-02,944,129,815
P008,W06,2026-08-02,1757,434,1323
P008,W07,2026-08-02,3729,1219,2510
P008,W08,2026-08-02,4673,1045,3628
P009,W01,2026-08-02,1704,324,1380
P009,W02,2026-08-02,3719,702,3017
P009,W03,2026-08-02,845,79,766
P009,W04,2026-08-02,4581,1288,3293
P009,W05,2026-08-02,4779,1464,3315
P009,W06,2026-08-02,3989,984,3005
P009,W07,2026-08-02,1364,246,1118
P009,W08,2026-08-02,1454,294,1160
P010,W01,2026-08-02,2122,482,1640
P010,W02,2026-08-02,1855,572,1283
P010,W03,2026-08-02,1358,410,948
P010,W04,2026-08-02,2116,398,1718
P010,W05,2026-08-02,1024,275,749
P010,W06,2026-08-02,652,65,587
P010,W07,2026-08-02,728,155,573
P010,W08,2026-08-02,1574,400,1174
P011,W01,2026-08-02,538,72,466
P011,W02,2026-08-02,362,56,306
P011,W03,2026-08-02,833,70,763
P011,W04,2026-08-02,491,169,322
P011,W05,2026-08-02,257,52,205
P011,W06,2026-08-02,703,175,528
P011,W07,2026-08-02,886,84,802
P011,W08,2026-08-02,920,66,854
P012,W01,2026-08-02,1615,225,1390
P012,W02,2026-08-02,1093,342,751
P012,W03,2026-08-02,1484,286,1198
P012,W04,2026-08-02,2254,705,1549
P012,W05,2026-08-02,1091,205,886
P012,W06,2026-08-02,1111,91,1020
P012,W07,2026-08-02,2011,458,1553
P012,W08,2026-08-02,4254,1046,3208
P013,W01,2026-08-02,3342,193,3149
P013,W02,2026-08-02,1969,99,1870
P013,W03,2026-08-02,1904,601,1303
P013,W04,2026-08-02,1155,307,848
P013,W05,2026-08-02,3323,934,2389
P013,W06,2026-08-02,1831,547,1284
P013,W07,2026-08-02,2127,441,1686
P013,W08,2026-08-02,2269,791,1478
P014,W01,2026-08-02,4216,790,3426
P014,W02,2026-08-02,1354,258,1096
P014,W03,2026-08-02,3690,256,3434
P014,W04,2026-08-02,2680,276,2404
P014,W05,2026-08-02,2851,548,2303
P014,W06,2026-08-02,2765,367,2398
P014,W07,2026-08-02,3351,556,2795
P014,W08,2026-08-02,2064,115,1949
P015,W01,2026-08-02,703,154,549
P015,W02,2026-08-02,1475,325,1150
P015,W03,2026-08-02,1842,379,1463
P015,W04,2026-08-02,2082,326,1756
P015,W05,2026-08-02,1478,341,1137
P015,W06,2026-08-02,1047,285,762
P015,W07,2026-08-02,1344,337,1007
P015,W08,2026-08-02,659,127,532
P016,W01,2026-08-02,1353,365,988
P016,W02,2026-08-02,3660,582,3078
P016,W03,2026-08-02,3935,697,3238
P016,W04,2026-08-02,1985,157,1828
P016,W05,2026-08-02,3208,832,2376
P016,W06,2026-08-02,3310,809,2501
P016,W07,2026-08-02,3642,858,2784
P016,W08,2026-08-02,2511,687,1824
P017,W01,2026-08-02,1492,452,1040
P017,W02,2026-08-02,2708,165,2543
P017,W03,2026-08-02,2654,609,2045
P017,W04,2026-08-02,702,67,635
P017,W05,2026-08-02,4746,1413,3333
P017,W06,2026-08-02,5509,1018,4491
P017,W07,2026-08-02,3591,986,2605
P017,W08,2026-08-02,5763,932,4831
P018,W01,2026-08-02,1474,267,1207
P018,W02,2026-08-02,4687,599,4088
P018,W03,2026-08-02,2118,391,1727
P018,W04,2026-08-02,2263,687,1576
P018,W05,2026-08-02,2850,900,1950
P018,W06,2026-08-02,1641,354,1287
P018,W07,2026-08-02,3033,252,2781
P018,W08,2026-08-02,5235,1685,3550
P019,W01,2026-08-02,1549,456,1093
P019,W02,2026-08-02,737,252,485
P019,W03,2026-08-02,966,178,788
P019,W04,2026-08-02,1176,167,1009
P019,W05,2026-08-02,2505,801,1704
P019,W06,2026-08-02,472,124,348
P019,W07,2026-08-02,1469,400,1069
P019,W08,2026-08-02,469,96,373
P020,W01,2026-08-02,1925,280,1645
P020,W02,2026-08-02,2824,150,2674
P020,W03,2026-08-02,2662,371,2291
P020,W04,2026-08-02,1377,368,1009
P020,W05,2026-08-02,3043,699,2344
P020,W06,2026-08-02,3408,1165,2243
P020,W07,2026-08-02,3492,1014,2478
P020,W08,2026-08-02,1395,396,999
P021,W01,2026-08-02,3836,863,2973
P021,W02,2026-08-02,2684,533,2151
P021,W03,2026-08-02,1708,563,1145
P021,W04,2026-08-02,2284,518,1766
P021,W05,2026-08-02,5765,1424,4341
P021,W06,2026-08-02,864,68,796
P021,W07,2026-08-02,3539,917,2622
P021,W08,2026-08-02,2663,821,1842
P022,W01,2026-08-02,1736,285,1451
P022,W02,2026-08-02,1377,312,1065
P022,W03,2026-08-02,1646,195,1451
P022,W04,2026-08-02,1294,161,1133
P022,W05,2026-08-02,2679,578,2101
P022,W06,2026-08-02,1733,224,1509
P022,W07,2026-08-02,874,276,598
P022,W08,2026-08-02,1348,399,949
P023,W01,2026-08-02,2394,501,1893
P023,W02,2026-08-02,5911,1817,4094
P023,W03,2026-08-02,5050,1016,4034
P023,W04,2026-08-02,3345,504,2841
P023,W05,2026-08-02,4390,935,3455
P023,W06,2026-08-02,4909,1086,3823
P023,W07,2026-08-02,3482,427,3055
P023,W08,2026-08-02,2791,920,1871
P024,W01,2026-08-02,3194,825,2369
P024,W02,2026-08-02,2900,480,2420
P024,W03,2026-08-02,3267,368,2899
P024,W04,2026-08-02,3444,421,3023
P024,W05,2026-08-02,5450,1634,3816
P024,W06,2026-08-02,2149,366,1783
P024,W07,2026-08-02,3060,700,2360
P024,W08,2026-08-02,2920,646,2274
P025,W01,2026-08-02,1594,437,1157
P025,W02,2026-08-02,3836,471,3365
P025,W03,2026-08-02,1816,631,1185
P025,W04,2026-08-02,2693,348,2345
P025,W05,2026-08-02,2351,306,2045
P025,W06,2026-08-02,1033,158,875
P025,W07,2026-08-02,686,225,461
P025,W08,2026-08-02,2016,501,1515
P026,W01,2026-08-02,1969,608,1361
P026,W02,2026-08-02,2158,524,1634
P026,W03,2026-08-02,2470,204,2266
P026,W04,2026-08-02,306,21,285
P026,W05,2026-08-02,1753,436,1317
P026,W06,2026-08-02,3043,211,2832
P026,W07,2026-08-02,509,90,419
P026,W08,2026-08-02,1968,515,1453
P027,W01,2026-08-02,1655,438,1217
P027,W02,2026-08-02,1229,159,1070
P027,W03,2026-08-02,2911,985,1926
P027,W04,2026-08-02,1595,117,1478
P027,W05,2026-08-02,1743,241,1502
P027,W06,2026-08-02,1598,528,1070
P027,W07,2026-08-02,1041,252,789
P027,W08,2026-08-02,876,246,630
P028,W01,2026-08-02,530,171,359
P028,W02,2026-08-02,310,95,215
P028,W03,2026-08-02,572,82,490
P028,W04,2026-08-02,355,23,332
P028,W05,2026-08-02,289,21,268
P028,W06,2026-08-02,371,104,267
P028,W07,2026-08-02,554,109,445
P028,W08,2026-08-02,161,45,116
P029,W01,2026-08-02,1435,116,1319
P029,W02,2026-08-02,3101,1026,2075
P029,W03,2026-08-02,4944,828,4116
P029,W04,2026-08-02,3615,554,3061
P029,W05,2026-08-02,3142,279,2863
P029,W06,2026-08-02,3007,787,2220
P029,W07,2026-08-02,5604,1403,4201
P029,W08,2026-08-02,2771,852,1919
P030,W01,2026-08-02,1646,241,1405
P030,W02,2026-08-02,600,150,450
P030,W03,2026-08-02,3135,268,2867
P030,W04,2026-08-02,2825,229,2596
P030,W05,2026-08-02,3111,184,2927
P030,W06,2026-08-02,1334,232,1102
P030,W07,2026-08-02,2204,209,1995
P030,W08,2026-08-02,4120,330,3790
P001,W01,2026-07-26,187,11,176
P001,W02,2026-07-26,242,53,189
P001,W03,2026-07-26,663,155,508
P001,W04,2026-07-26,511,63,448
P001,W05,2026-07-26,828,79,749
P001,W06,2026-07-26,275,72,203
P001,W07,2026-07-26,1124,311,813
P001,W08,2026-07-26,413,121,292
P002,W01,2026-07-26,4274,304,3970
P002,W02,2026-07-26,3715,217,3498
P002,W03,2026-07-26,3726,927,2799
P002,W04,2026-07-26,1705,139,1566
P002,W05,2026-07-26,3627,331,3296
P002,W06,2026-07-26,1834,535,1299
P002,W07,2026-07-26,1524,183,1341
P002,W08,2026-07-26,1814,318,1496
P003,W01,2026-07-26,3116,918,2198
P003,W02,2026-07-26,1452,428,1024
P003,W03,2026-07-26,1304,113,1191
P003,W04,2026-07-26,851,52,799
