order_id,product_id,warehouse_id,order_qty,promised_date,delivery_date,status
SO00118,P004,W05,780,2026-08-17,2026-08-18,DELIVERED
SO00119,P024,W07,657,2026-08-10,,BACKORDER
SO00120,P022,W05,144,2026-06-29,2026-07-01,SHIPPED
SO00121,P019,W08,372,2026-07-20,,OPEN
SO00122,P001,W06,125,2026-08-04,,BACKORDER
SO00123,P005,W06,635,2026-07-05,2026-07-05,SHIPPED
SO00124,P020,W06,460,2026-07-02,,CONFIRMED
SO00125,P030,W04,657,2026-08-02,,OPEN
SO00126,P010,W01,400,2026-07-12,2026-07-16,DELIVERED
SO00127,P022,W05,610,2026-08-14,,OPEN
SO00128,P015,W07,272,2026-08-05,2026-08-05,SHIPPED
SO00129,P026,W04,399,2026-08-01,,OPEN
SO00130,P005,W04,700,2026-06-18,2026-06-19,DELIVERED
SO00131,P003,W06,147,2026-07-28,,CONFIRMED
SO00132,P024,W07,397,2026-08-03,2026-08-05,DELIVERED
SO00133,P023,W05,331,2026-07-07,2026-07-09,DELIVERED
SO00134,P014,W04,556,2026-07-30,,CANCELLED
SO00135,P029,W04,724,2026-07-09,,CONFIRMED
SO00136,P028,W08,363,2026-08-15,,BACKORDER
SO00137,P003,W05,678,2026-06-24,2026-06-26,SHIPPED
SO00138,P016,W01,114,2026-08-18,2026-08-19,SHIPPED
SO00139,P007,W06,386,2026-07-18,2026-07-20,SHIPPED
SO00140,P029,W07,772,2026-07-17,2026-07-18,DELIVERED
SO00141,P013,W03,745,2026-08-11,,CONFIRMED
SO00142,P012,W03,693,2026-08-11,,OPEN
SO00143,P013,W01,719,2026-07-27,2026-07-29,DELIVERED
SO00144,P017,W04,501,2026-07-12,,CONFIRMED
SO00145,P008,W04,205,2026-07-08,,CONFIRMED
SO00146,P026,W04,729,2026-07-30,,BACKORDER
SO00147,P020,W07,444,2026-07-14,2026-07-16,DELIVERED
SO00148,P019,W08,132,2026-07-21,2026-07-26,DELIVERED
SO00149,P024,W03,754,2026-07-31,2026-08-01,DELIVERED
SO00150,P003,W02,266,2026-08-02,2026-08-02,DELIVERED
SO00151,P015,W06,559,2026-08-10,2026-08-12,DELIVERED
SO00152,P003,W07,560,2026-08-11,2026-08-11,DELIVERED
SO00153,P010,W02,390,2026-07-05,2026-07-08,DELIVERED
SO00154,P005,W05,572,2026-07-27,2026-07-28,DELIVERED
SO00155,P025,W03,246,2026-07-04,2026-07-05,SHIPPED
SO00156,P023,W05,571,2026-07-12,2026-07-13,SHIPPED
SO00157,P026,W04,424,2026-08-02,2026-08-06,SHIPPED
SO00158,P008,W02,186,2026-07-08,,CONFIRMED
SO00159,P008,W05,396,2026-07-07,,OPEN
SO00160,P009,W06,674,2026-07-12,,CONFIRMED
SO00161,P021,W05,530,2026-07-30,2026-07-31,DELIVERED
SO00162,P014,W03,617,2026-07-24,,CONFIRMED
SO00163,P024,W07,573,2026-07-17,2026-07-19,DELIVERED
SO00164,P030,W04,12,2026-07-18,,BACKORDER
SO00165,P004,W02,357,2026-07-27,,CONFIRMED
SO00166,P012,W04,573,2026-08-10,2026-08-11,SHIPPED
SO00167,P003,W08,557,2026-06-27,,CONFIRMED
SO00168,P010,W01,315,2026-07-07,2026-07-09,SHIPPED
SO00169,P012,W08,173,2026-06-28,,CONFIRMED
SO00170,P006,W01,152,2026-08-15,2026-08-15,DELIVERED
SO00171,P013,W07,329,2026-06-27,2026-06-27,DELIVERED
SO00172,P025,W02,373,2026-08-14,2026-08-14,DELIVERED
SO00173,P008,W03,520,2026-07-14,,BACKORDER
SO00174,P009,W08,643,2026-08-05,2026-08-06,SHIPPED
SO00175,P027,W06,266,2026-06-29,2026-07-01,DELIVERED
SO00176,P009,W01,366,2026-07-22,2026-07-23,DELIVERED
SO00177,P017,W08,349,2026-07-24,2026-07-25,DELIVERED
SO00178,P019,W01,722,2026-08-04,,CONFIRMED
SO00179,P021,W02,743,2026-08-03,2026-08-03,SHIPPED
SO00180,P004,W03,332,2026-08-19,,CONFIRMED
SO00181,P004,W08,338,2026-07-31,2026-08-03,DELIVERED
SO00182,P004,W04,505,2026-07-27,,CONFIRMED
SO00183,P024,W03,797,2026-06-14,2026-06-15,SHIPPED
SO00184,P015,W02,233,2026-07-04,2026-07-08,DELIVERED
SO00185,P021,W08,719,2026-07-07,,CONFIRMED
SO00186,P025,W04,109,2026-08-19,2026-08-20,DELIVERED
SO00187,P011,W07,242,2026-06-20,,BACKORDER
SO00188,P028,W02,432,2026-07-07,,CANCELLED
SO00189,P021,W05,194,2026-08-06,2026-08-06,SHIPPED
SO00190,P005,W07,157,2026-06-26,,CONFIRMED
SO00191,P002,W04,663,2026-08-09,2026-08-10,SHIPPED
SO00192,P007,W07,60,2026-07-03,2026-07-04,SHIPPED
SO00193,P002,W06,544,2026-07-26,2026-07-28,DELIVERED
SO00194,P007,W08,398,2026-07-30,,CONFIRMED
SO00195,P025,W01,401,2026-06-27,2026-06-28,DELIVERED
SO00196,P026,W02,81,2026-06-28,,BACKORDER
SO00197,P002,W01,459,2026-08-06,2026-08-06,DELIVERED
SO00198,P013,W01,461,2026-08-16,2026-08-16,DELIVERED
SO00199,P011,W06,322,2026-06-24,2026-06-24,SHIPPED
SO00200,P005,W05,289,2026-08-06,2026-08-06,DELIVERED
SO00201,P020,W01,207,2026-07-27,2026-07-28,DELIVERED
SO00202,P016,W06,17,2026-08-13,,CANCELLED
SO00203,P022,W03,482,2026-08-14,2026-08-15,DELIVERED
SO00204,P021,W02,589,2026-08-01,,OPEN
SO00205,P026,W03,59,2026-08-22,,BACKORDER
SO00206,P011,W03,160,2026-07-18,2026-07-21,SHIPPED
SO00207,P010,W04,289,2026-08-09,2026-08-09,DELIVERED
SO00208,P010,W08,594,2026-07-25,2026-07-28,DELIVERED
SO00209,P017,W08,487,2026-08-14,2026-08-16,DELIVERED
SO00210,P019,W08,614,2026-07-08,2026-07-11,DELIVERED
SO00211,P020,W01,494,2026-06-22,2026-06-22,DELIVERED
SO00212,P001,W05,384,2026-07-29,,BACKORDER
SO00213,P029,W01,420,2026-08-05,2026-08-06,SHIPPED
SO00214,P004,W03,408,2026-07-17,,OPEN
SO00215,P029,W02,57,2026-08-06,2026-08-07,DELIVERED
SO00216,P006,W02,742,2026-07-16,2026-07-17,DELIVERED
SO00217,P007,W08,369,2026-07-27,2026-07-28,SHIPPED
SO00218,P011,W01,724,2026-07-24,,BACKORDER
SO00219,P001,W07,213,2026-07-05,,OPEN
SO00220,P022,W04,420,2026-07-09,2026-07-10,DELIVERED
SO00221,P020,W02,529,2026-06-30,2026-07-01,DELIVERED
SO00222,P007,W01,362,2026-08-05,2026-08-06,DELIVERED
SO00223,P010,W06,469,2026-07-04,,OPEN
SO00224,P025,W01,800,2026-08-01,,CONFIRMED
SO00225,P027,W01,298,2026-06-20,2026-06-21,SHIPPED
SO00226,P019,W07,13,2026-08-03,,CONFIRMED
SO00227,P023,W03,535,2026-08-15,2026-08-16,DELIVERED
SO00228,P030,W07,797,2026-07-26,,CONFIRMED
SO00229,P018,W03,723,2026-08-02,,CONFIRMED
SO00230,P020,W04,628,2026-07-06,2026-07-06,DELIVERED
SO00231,P014,W04,459,2026-07-30,,CONFIRMED
SO00232,P018,W06,165,2026-07-04,,CONFIRMED
SO00233,P003,W02,572,2026-07-06,,OPEN
SO00234,P024,W03,115,2026-07-27,2026-07-27,SHIPPED
SO00235,P007,W08,239,2026-07-31,,CONFIRMED
SO00236,P006,W02,305,2026-07-08,2026-07-09,DELIVERED
SO00237,P011,W07,605,2026-06-29,2026-07-01,DELIVERED
SO00238,P027,W02,15,2026-07-07,2026-07-09,SHIPPED
SO00239,P020,W04,598,2026-06-26,2026-06-26,DELIVERED
SO00240,P029,W03,376,2026-07-15,,CONFIRMED
SO00241,P018,W08,33,2026-06-26,2026-06-27,DELIVERED
SO00242,P016,W01,235,2026-06-26,2026-06-27,SHIPPED
SO00243,P028,W07,332,2026-08-09,,OPEN
SO00244,P001,W08,111,2026-07-23,2026-07-24,SHIPPED
SO00245,P004,W05,688,2026-06-27,,OPEN
SO00246,P009,W03,489,2026-07-09,2026-07-10,DELIVERED
SO00247,P017,W06,723,2026-07-16,2026-07-18,DELIVERED
SO00248,P019,W06,158,2026-07-28,,CONFIRMED
SO00249,P015,W02,290,2026-06-24,2026-06-24,SHIPPED
SO00250,P009,W01,223,2026-07-17,2026-07-19,DELIVERED
SO00251,P002,W03,85,2026-07-04,2026-07-04,DELIVERED
SO00252,P018,W07,42,2026-08-08,,OPEN
SO00253,P003,W07,494,2026-08-22,,BACKORDER
SO00254,P002,W08,101,2026-08-12,2026-08-12,DELIVERED
SO00255,P025,W08,275,2026-07-14,2026-07-14,SHIPPED
SO00256,P002,W03,161,2026-08-01,,CONFIRMED
SO00257,P002,W02,454,2026-07-10,2026-07-11,SHIPPED
SO00258,P003,W04,401,2026-06-20,,CONFIRMED
SO00259,P001,W07,317,2026-07-28,2026-08-01,SHIPPED
SO00260,P014,W04,164,2026-06-22,2026-06-23,SHIPPED
SO00261,P018,W05,603,2026-07-06,2026-07-07,SHIPPED
SO00262,P004,W07,482,2026-07-17,,CANCELLED
SO00263,P030,W07,132,2026-07-20,,OPEN
SO00264,P027,W07,40,2026-08-01,2026-08-03,DELIVERED
SO00265,P027,W01,191,2026-07-03,,CONFIRMED
SO00266,P006,W04,519,2026-07-14,,CONFIRMED
SO00267,P023,W06,277,2026-08-07,2026-08-07,DELIVERED
SO00268,P003,W01,210,2026-08-08,2026-08-10,SHIPPED
SO00269,P002,W01,585,2026-07-24,2026-07-25,SHIPPED
SO00270,P013,W08,383,2026-07-04,,CONFIRMED
SO00271,P023,W03,441,2026-07-29,,OPEN
SO00272,P015,W08,353,2026-07-08,,BACKORDER
SO00273,P029,W06,291,2026-08-18,2026-08-20,DELIVERED
SO00274,P003,W06,296,2026-08-03,,CONFIRMED
SO00275,P007,W08,503,2026-07-10,2026-07-11,DELIVERED
SO00276,P027,W01,36,2026-08-07,2026-08-07,SHIPPED
SO00277,P009,W05,94,2026-07-13,,OPEN
SO00278,P018,W01,373,2026-07-28,2026-07-28,DELIVERED
SO00279,P001,W08,589,2026-08-10,,CONFIRMED
SO00280,P007,W01,338,2026-08-11,,OPEN
SO00281,P010,W06,279,2026-07-20,2026-07-20,SHIPPED
SO00282,P023,W08,561,2026-06-25,2026-06-26,SHIPPED
SO00283,P017,W05,453,2026-08-06,,CONFIRMED
SO00284,P004,W01,773,2026-07-30,,CONFIRMED
SO00285,P016,W04,139,2026-08-07,2026-08-09,DELIVERED
SO00286,P012,W03,737,2026-07-15,,CONFIRMED
SO00287,P024,W04,236,2026-07-17,2026-07-18,SHIPPED
SO00288,P029,W06,743,2026-06-29,2026-07-01,SHIPPED
SO00289,P022,W03,694,2026-07-05,,CANCELLED
SO00290,P022,W08,452,2026-08-06,2026-08-06,DELIVERED
SO00291,P010,W05,228,2026-08-08,,OPEN
SO00292,P025,W07,723,2026-08-14,2026-08-15,SHIPPED
SO00293,P026,W05,421,2026-07-03,,BACKORDER
SO00294,P004,W07,721,2026-08-04,,CONFIRMED
SO00295,P024,W04,699,2026-08-06,2026-08-07,DELIVERED
SO00296,P024,W01,634,2026-07-17,2026-07-19,DELIVERED
SO00297,P009,W07,204,2026-08-13,2026-08-15,DELIVERED
SO00298,P027,W08,72,2026-07-19,2026-07-19,DELIVERED
SO00299,P001,W02,773,2026-08-08,,BACKORDER
SO00300,P014,W01,80,2026-07-28,,CONFIRMED
SO00301,P028,W01,677,2026-06-27,,CONFIRMED
SO00302,P002,W08,456,2026-08-08,2026-08-10,DELIVERED
SO00303,P023,W05,558,2026-08-21,2026-08-22,SHIPPED
SO00304,P012,W03,147,2026-08-12,,CONFIRMED
SO00305,P011,W05,170,2026-07-04,2026-07-07,SHIPPED
SO00306,P012,W07,534,2026-07-19,2026-07-19,DELIVERED
SO00307,P008,W01,451,2026-06-25,,BACKORDER
SO00308,P025,W05,36,2026-07-16,2026-07-18,DELIVERED
SO00309,P018,W06,596,2026-07-06,2026-07-08,SHIPPED
SO00310,P030,W04,429,2026-08-13,,CONFIRMED
SO00311,P026,W07,264,2026-08-01,2026-08-01,DELIVERED
SO00312,P006,W06,191,2026-06-30,,CONFIRMED
SO00313,P007,W07,695,2026-07-04,,CONFIRMED
SO00314,P016,W05,311,2026-07-13,2026-07-15,SHIPPED
SO00315,P004,W01,388,2026-07-03,2026-07-06,SHIPPED
SO00316,P010,W08,656,2026-08-09,,OPEN
SO00317,P020,W03,56,2026-07-28,,BACKORDER
SO00318,P026,W03,334,2026-08-02,,OPEN
SO00319,P003,W07,310,2026-06-26,2026-06-28,DELIVERED
SO00320,P003,W07,478,2026-08-11,2026-08-12,SHIPPED
SO00321,P018,W06,76,2026-07-02,2026-07-04,DELIVERED
SO00322,P007,W01,299,2026-07-18,2026-07-18,SHIPPED
SO00323,P021,W02,794,2026-07-18,2026-07-20,SHIPPED
SO00324,P002,W05,27,2026-08-04,2026-08-06,DELIVERED
SO00325,P023,W05,260,2026-08-06,2026-08-07,DELIVERED
SO00326,P027,W01,769,2026-08-02,,OPEN
SO00327,P028,W04,269,2026-07-07,,OPEN
SO00328,P010,W05,216,2026-06-26,2026-07-01,DELIVERED
SO00329,P007,W01,735,2026-07-04,2026-07-05,DELIVERED
SO00330,P016,W05,755,2026-06-27,2026-06-29,DELIVERED
SO00331,P012,W08,326,2026-08-01,2026-08-02,DELIVERED
SO00332,P023,W03,670,2026-07-25,2026-07-25,DELIVERED
SO00333,P013,W03,205,2026-07-25,2026-07-27,SHIPPED
SO00334,P024,W01,317,2026-07-06,2026-07-06,DELIVERED
SO00335,P009,W03,642,2026-08-02,2026-08-03,SHIPPED
SO00336,P001,W08,652,2026-06-26,,CONFIRMED
SO00337,P027,W03,71,2026-06-25,,OPEN
SO00338,P016,W03,590,2026-06-20,2026-06-21,DELIVERED
SO00339,P001,W04,102,2026-07-01,2026-07-03,SHIPPED
SO00340,P005,W03,188,2026-08-03,2026-08-05,DELIVERED
SO00341,P002,W04,174,2026-07-07,2026-07-07,DELIVERED
SO00342,P002,W04,147,2026-07-11,,BACKORDER
SO00343,P023,W03,179,2026-07-10,2026-07-11,SHIPPED
SO00344,P019,W04,326,2026-07-22,2026-07-23,DELIVERED
SO00345,P011,W05,598,2026-06-17,,BACKORDER
SO00346,P022,W03,52,2026-07-08,,CONFIRMED
SO00347,P019,W03,732,2026-08-10,2026-08-12,SHIPPED
SO00348,P008,W07,194,2026-08-12,2026-08-14,SHIPPED
SO00349,P007,W08,794,2026-08-06,,BACKORDER
SO00350,P030,W04,388,2026-08-21,2026-08-22,DELIVERED
SO00351,P017,W07,59,2026-08-12,2026-08-13,SHIPPED
SO00352,P019,W07,620,2026-06-23,,CONFIRMED
SO00353,P027,W03,390,2026-07-12,2026-07-12,DELIVERED
SO00354,P025,W01,531,2026-08-08,,CONFIRMED
SO00355,P009,W01,731,2026-07-30,,CONFIRMED
SO00356,P012,W06,339,2026-07-13,2026-07-13,DELIVERED
SO00357,P012,W03,556,2026-08-02,2026-08-03,DELIVERED
SO00358,P002,W05,316,2026-08-08,,CANCELLED
SO00359,P010,W02,316,2026-07-23,,CONFIRMED
SO00360,P029,W05,684,2026-07-10,,CANCELLED
SO00361,P004,W06,55,2026-06-24,2026-06-28,DELIVERED
SO00362,P006,W01,284,2026-08-02,2026-08-02,DELIVERED
SO00363,P022,W02,40,2026-07-22,2026-07-23,SHIPPED
SO00364,P004,W01,584,2026-08-17,2026-08-19,DELIVERED
SO00365,P006,W05,28,2026-08-20,2026-08-20,DELIVERED
SO00366,P016,W02,301,2026-07-22,2026-07-22,DELIVERED
SO00367,P028,W05,591,2026-07-25,,BACKORDER
SO00368,P021,W08,167,2026-07-01,2026-07-02,SHIPPED
SO00369,P024,W05,591,2026-06-26,2026-06-28,DELIVERED
SO00370,P006,W01,289,2026-07-25,2026-07-25,DELIVERED
SO00371,P018,W03,502,2026-08-04,2026-08-06,SHIPPED
SO00372,P002,W04,433,2026-08-01,,CONFIRMED
SO00373,P022,W03,319,2026-08-12,2026-08-12,SHIPPED
SO00374,P005,W04,134,2026-08-18,,CONFIRMED
SO00375,P006,W08,399,2026-08-02,2026-08-04,SHIPPED
SO00376,P014,W05,201,2026-08-08,,OPEN
SO00377,P026,W04,107,2026-07-09,,CONFIRMED
SO00378,P015,W03,648,2026-08-23,2026-08-27,SHIPPED
SO00379,P011,W06,456,2026-08-14,,BACKORDER
SO00380,P007,W03,676,2026-07-08,2026-07-08,SHIPPED
SO00381,P005,W03,66,2026-07-01,2026-07-03,SHIPPED
SO00382,P022,W05,450,2026-07-13,2026-07-14,SHIPPED
SO00383,P011,W05,349,2026-08-04,2026-08-09,SHIPPED
SO00384,P004,W03,155,2026-06-23,2026-06-24,DELIVERED
SO00385,P006,W06,387,2026-08-01,2026-08-03,DELIVERED
SO00386,P021,W07,541,2026-08-17,2026-08-18,DELIVERED
SO00387,P021,W07,110,2026-08-09,,OPEN
SO00388,P024,W05,639,2026-06-29,,CONFIRMED
SO00389,P010,W06,338,2026-08-15,2026-08-16,SHIPPED
SO00390,P011,W02,303,2026-08-06,,BACKORDER
SO00391,P001,W07,161,2026-06-24,,CONFIRMED
SO00392,P020,W02,397,2026-07-06,2026-07-08,DELIVERED
SO00393,P022,W03,138,2026-08-11,2026-08-11,SHIPPED
SO00394,P014,W03,152,2026-06-16,2026-06-16,DELIVERED
SO00395,P012,W04,768,2026-08-11,2026-08-13,SHIPPED
SO00396,P013,W01,487,2026-08-04,2026-08-06,DELIVERED
SO00397,P008,W05,438,2026-07-25,,CONFIRMED
SO00398,P008,W08,136,2026-08-07,2026-08-07,SHIPPED
SO00399,P024,W04,739,2026-08-13,2026-08-14,SHIPPED
SO00400,P003,W08,147,2026-06-18,2026-06-19,DELIVERED
SO00401,P030,W07,125,2026-08-06,2026-08-08,DELIVERED
SO00402,P015,W03,549,2026-07-17,2026-07-18,SHIPPED
SO00403,P007,W04,196,2026-06-27,2026-06-28,DELIVERED
SO00404,P020,W03,579,2026-07-04,,BACKORDER
SO00405,P011,W04,378,2026-06-28,2026-06-30,SHIPPED
SO00406,P028,W06,120,2026-08-21,,CANCELLED
SO00407,P015,W03,709,2026-08-10,,BACKORDER
SO00408,P005,W04,438,2026-07-25,,OPEN
SO00409,P012,W01,78,2026-06-18,2026-06-20,DELIVERED
SO00410,P006,W03,479,2026-08-13,2026-08-13,SHIPPED
SO00411,P030,W03,415,2026-06-28,2026-06-30,DELIVERED
SO00412,P020,W07,388,2026-08-03,2026-08-03,DELIVERED
SO00413,P025,W02,569,2026-08-08,,CONFIRMED
SO00414,P022,W06,408,2026-08-09,,CONFIRMED
SO00415,P011,W03,163,2026-07-09,,BACKORDER
SO00416,P006,W01,408,2026-06-30,,CONFIRMED
SO00417,P009,W07,670,2026-06-17,2026-06-17,DELIVERED
SO00418,P021,W04,481,2026-07-01,2026-07-01,DELIVERED
SO00419,P013,W02,431,2026-08-17,2026-08-19,SHIPPED
SO00420,P006,W04,115,2026-08-04,,CONFIRMED
SO00421,P017,W08,54,2026-08-01,2026-08-03,DELIVERED
SO00422,P009,W06,178,2026-08-12,2026-08-13,DELIVERED
SO00423,P027,W05,287,2026-08-03,2026-08-03,DELIVERED
SO00424,P003,W02,15,2026-07-11,2026-07-11,SHIPPED
SO00425,P005,W04,189,2026-06-17,2026-06-18,DELIVERED
SO00426,P005,W04,282,2026-06-29,2026-06-30,SHIPPED
SO00427,P002,W02,633,2026-08-07,2026-08-07,DELIVERED
SO00428,P019,W07,353,2026-07-06,,CONFIRMED
SO00429,P001,W05,215,2026-07-26,2026-07-30,DELIVERED
SO00430,P007,W03,64,2026-08-19,2026-08-19,DELIVERED
SO00431,P013,W08,551,2026-06-27,,BACKORDER
SO00432,P022,W03,217,2026-07-26,2026-07-27,DELIVERED
SO00433,P007,W02,639,2026-08-16,2026-08-18,SHIPPED
SO00434,P029,W07,416,2026-07-23,2026-07-24,DELIVERED
SO00435,P007,W04,718,2026-07-19,2026-07-20,SHIPPED
SO00436,P001,W05,264,2026-07-17,,BACKORDER
SO00437,P011,W04,775,2026-07-11,,BACKORDER
SO00438,P030,W05,536,2026-07-29,2026-07-29,DELIVERED
SO00439,P026,W01,151,2026-08-01,,OPEN
SO00440,P008,W02,153,2026-06-19,2026-06-21,SHIPPED
SO00441,P020,W05,725,2026-08-06,,CONFIRMED
