po_id,product_id,supplier_id,ordered_qty,received_qty,order_date,expected_date,actual_date,status
PO00242,P006,S03,6098,6098,2026-06-21,2026-06-29,2026-06-28,RECEIVED
PO00243,P020,S15,1938,0,2026-07-31,2026-08-09,,OPEN
PO00244,P017,S02,4758,0,2026-06-18,2026-06-28,,OPEN
PO00245,P018,S05,718,718,2026-06-24,2026-07-01,2026-07-01,RECEIVED
PO00246,P025,S05,5387,0,2026-07-25,2026-08-01,,CANCELLED
PO00247,P028,S09,6962,0,2026-08-03,2026-08-14,,OPEN
PO00248,P030,S07,4354,4354,2026-07-07,2026-07-21,2026-07-22,RECEIVED
PO00249,P009,S08,5407,5407,2026-06-21,2026-07-07,2026-07-07,RECEIVED
PO00250,P022,S11,5132,5132,2026-07-27,2026-08-09,2026-08-08,RECEIVED
PO00251,P016,S09,1560,1560,2026-06-03,2026-06-14,2026-06-14,RECEIVED
PO00252,P025,S05,4904,4904,2026-07-17,2026-07-24,2026-07-23,RECEIVED
PO00253,P026,S03,5721,0,2026-07-03,2026-07-11,,OPEN
PO00254,P004,S04,295,0,2026-07-22,2026-08-09,,OPEN
PO00255,P012,S08,4447,0,2026-07-09,2026-07-25,,CANCELLED
PO00256,P025,S05,4291,2075,2026-07-03,2026-07-10,2026-07-11,PARTIAL
PO00257,P002,S02,5544,2461,2026-07-24,2026-08-03,2026-08-03,PARTIAL
PO00258,P019,S11,4348,0,2026-06-02,2026-06-15,,CANCELLED
PO00259,P005,S05,1652,0,2026-07-23,2026-07-30,,OPEN
PO00260,P007,S06,5215,5215,2026-07-23,2026-08-01,2026-08-01,RECEIVED
PO00261,P017,S02,2548,2548,2026-07-30,2026-08-09,2026-08-09,RECEIVED
PO00262,P011,S07,1216,0,2026-06-06,2026-06-20,,OPEN
PO00263,P018,S05,1346,1017,2026-08-02,2026-08-09,2026-08-11,PARTIAL
PO00264,P015,S12,1406,492,2026-07-06,2026-07-21,,PARTIAL
PO00265,P013,S08,7079,7079,2026-06-23,2026-07-09,2026-07-10,RECEIVED
PO00266,P012,S08,4104,2977,2026-05-28,2026-06-13,2026-06-14,PARTIAL
PO00267,P025,S05,1377,838,2026-06-23,2026-06-30,2026-06-30,PARTIAL
PO00268,P004,S04,6069,0,2026-07-05,2026-07-23,,CANCELLED
PO00269,P023,S11,4507,4507,2026-06-22,2026-07-05,2026-07-05,RECEIVED
PO00270,P011,S07,6479,0,2026-06-21,2026-07-05,,OPEN
PO00271,P021,S13,909,909,2026-07-19,2026-08-05,2026-08-05,RECEIVED
PO00272,P016,S09,7372,7372,2026-07-23,2026-08-03,2026-08-04,RECEIVED
PO00273,P024,S02,5613,0,2026-06-07,2026-06-17,,OPEN
PO00274,P013,S08,5857,5857,2026-08-01,2026-08-17,2026-08-16,RECEIVED
PO00275,P017,S02,7922,0,2026-07-15,2026-07-25,,OPEN
PO00276,P010,S13,2413,0,2026-05-30,2026-06-16,,OPEN
PO00277,P030,S07,783,337,2026-07-22,2026-08-05,2026-08-07,PARTIAL
PO00278,P001,S10,1090,0,2026-07-16,2026-08-05,,OPEN
PO00279,P007,S06,4279,4279,2026-06-06,2026-06-15,2026-06-15,RECEIVED
PO00280,P025,S05,2602,2602,2026-06-27,2026-07-04,2026-07-05,RECEIVED
PO00281,P009,S08,4374,4374,2026-06-01,2026-06-17,2026-06-16,RECEIVED
PO00282,P025,S05,3693,3693,2026-08-03,2026-08-10,2026-08-09,RECEIVED
PO00283,P029,S06,1106,1106,2026-07-30,2026-08-08,2026-08-08,RECEIVED
PO00284,P007,S06,4620,2031,2026-06-17,2026-06-26,2026-06-28,PARTIAL
PO00285,P015,S12,6827,0,2026-06-24,2026-07-09,,OPEN
PO00286,P024,S02,5443,5443,2026-08-01,2026-08-11,2026-08-10,RECEIVED
PO00287,P017,S02,3951,2323,2026-07-31,2026-08-10,2026-08-11,PARTIAL
PO00288,P009,S08,5028,2265,2026-06-03,2026-06-19,2026-06-21,PARTIAL
PO00289,P010,S13,6176,0,2026-06-13,2026-06-30,,OPEN
PO00290,P016,S09,6470,0,2026-07-13,2026-07-24,,OPEN
PO00291,P021,S13,3028,3028,2026-07-01,2026-07-18,2026-07-17,RECEIVED
PO00292,P026,S03,2992,0,2026-07-27,2026-08-04,,OPEN
PO00293,P025,S05,7415,0,2026-07-25,2026-08-01,,OPEN
PO00294,P023,S11,5767,3656,2026-07-26,2026-08-08,2026-08-10,PARTIAL
PO00295,P029,S06,6721,0,2026-06-07,2026-06-16,,OPEN
PO00296,P007,S06,2885,0,2026-06-18,2026-06-27,,OPEN
PO00297,P016,S09,6640,0,2026-07-11,2026-07-22,,OPEN
PO00298,P004,S04,2580,0,2026-07-29,2026-08-16,,OPEN
PO00299,P025,S05,753,753,2026-07-09,2026-07-16,2026-07-15,RECEIVED
PO00300,P004,S04,6496,0,2026-08-02,2026-08-20,,OPEN
PO00301,P028,S09,944,0,2026-06-13,2026-06-24,,OPEN
PO00302,P029,S06,3913,3913,2026-06-30,2026-07-09,2026-07-08,RECEIVED
PO00303,P020,S15,5202,3137,2026-06-16,2026-06-25,2026-06-25,PARTIAL
PO00304,P023,S11,5522,5522,2026-06-23,2026-07-06,2026-07-05,RECEIVED
PO00305,P017,S02,4431,2068,2026-06-01,2026-06-11,2026-06-11,PARTIAL
PO00306,P020,S15,4603,2465,2026-06-07,2026-06-16,2026-06-18,PARTIAL
PO00307,P022,S11,5450,0,2026-07-22,2026-08-04,,CANCELLED
PO00308,P011,S07,5513,0,2026-05-30,2026-06-13,,CANCELLED
PO00309,P011,S07,7209,3748,2026-07-31,2026-08-14,,PARTIAL
PO00310,P004,S04,3473,0,2026-06-11,2026-06-29,,CANCELLED
PO00311,P013,S08,4726,0,2026-07-29,2026-08-14,,OPEN
PO00312,P001,S10,451,0,2026-06-24,2026-07-14,,OPEN
PO00313,P023,S11,3246,0,2026-06-27,2026-07-10,,OPEN
PO00314,P014,S07,3062,1463,2026-07-17,2026-07-31,2026-08-01,PARTIAL
PO00315,P011,S07,7849,0,2026-08-02,2026-08-16,,CANCELLED
PO00316,P016,S09,587,352,2026-06-12,2026-06-23,2026-06-25,PARTIAL
PO00317,P023,S11,1835,1835,2026-06-09,2026-06-22,2026-06-22,RECEIVED
PO00318,P012,S08,6953,0,2026-07-17,2026-08-02,,OPEN
PO00319,P001,S10,6634,0,2026-06-19,2026-07-09,,OPEN
PO00320,P008,S05,3835,0,2026-06-09,2026-06-16,,CANCELLED
PO00321,P024,S02,4065,4065,2026-06-22,2026-07-02,2026-07-02,RECEIVED
PO00322,P002,S02,1159,0,2026-07-31,2026-08-10,,OPEN
PO00323,P018,S05,4344,2840,2026-06-29,2026-07-06,2026-07-06,PARTIAL
PO00324,P015,S12,2711,0,2026-06-18,2026-07-03,,OPEN
PO00325,P021,S13,744,0,2026-06-27,2026-07-14,,OPEN
PO00326,P027,S03,5322,5322,2026-06-02,2026-06-10,2026-06-10,RECEIVED
PO00327,P017,S02,4169,4169,2026-05-26,2026-06-05,2026-06-07,RECEIVED
PO00328,P026,S03,234,85,2026-06-05,2026-06-13,,PARTIAL
PO00329,P023,S11,5322,0,2026-06-06,2026-06-19,,CANCELLED
PO00330,P022,S11,398,398,2026-07-07,2026-07-20,2026-07-21,RECEIVED
PO00331,P014,S07,536,277,2026-07-23,2026-08-06,2026-08-07,PARTIAL
PO00332,P027,S03,376,376,2026-07-15,2026-07-23,2026-07-25,RECEIVED
PO00333,P009,S08,6701,2728,2026-06-28,2026-07-14,2026-07-15,PARTIAL
PO00334,P018,S05,6610,0,2026-06-27,2026-07-04,,OPEN
PO00335,P003,S07,1661,0,2026-06-23,2026-07-07,,OPEN
PO00336,P028,S09,1863,0,2026-07-17,2026-07-28,,OPEN
PO00337,P015,S12,5295,2635,2026-06-16,2026-07-01,,PARTIAL
PO00338,P013,S08,6232,0,2026-07-24,2026-08-09,,CANCELLED
PO00339,P011,S07,1436,375,2026-06-28,2026-07-12,,PARTIAL
PO00340,P022,S11,6811,6811,2026-06-30,2026-07-13,2026-07-13,RECEIVED
PO00341,P019,S11,4280,0,2026-07-13,2026-07-26,,OPEN
PO00342,P022,S11,5696,5696,2026-06-07,2026-06-20,2026-06-21,RECEIVED
